473	474	490
474	475	458
474	475	491
475	476	459
475	476	492
476	477	460
476	477	493
477	478	461
477	478	494
478	479	462
478	479	495
480	481	464
480	481	497
481	482	465
481	482	498
482	483	466
482	483	499
483	484	467
483	484	500
484	485	468
484	485	501
485	486	469
485	486	502
486	487	470
486	487	503
487	488	471
487	488	504
488	489	472
488	489	505
489	490	473
489	490	506
490	491	474
490	491	507
491	492	475
491	492	508
492	493	476
492	493	509
493	494	477
493	494	510
494	495	478
494	495	511
496	497	480
496	497	513
497	498	481
497	498	514
498	499	482
498	499	515
499	500	483
499	500	516
500	501	484
500	501	517
501	502	485
501	502	518
502	503	486
502	503	519
503	504	487
503	504	520
504	505	488
504	505	521
505	506	489
505	506	522
506	507	490
506	507	523
507	508	491
507	508	524
508	509	492
508	509	525
509	510	493
509	510	526
510	511	494
510	511	527
511	512	495
511	512	528
513	514	497
513	514	530
514	515	498
514	515	531
515	516	499
515	516	532
516	517	500
516	517	533
517	518	501
517	518	534
518	519	502
518	519	535
519	520	503
519	520	536
520	521	504
520	521	537
521	522	505
521	522	538
522	523	506
522	523	539
523	524	507
523	524	540
524	525	508
524	525	541
525	526	509
525	526	542
526	527	510
526	527	543
527	528	511
527	528	544
529	530	513
529	530	546
530	531	514
530	531	547
531	532	515
531	532	548
532	533	516
532	533	549
533	534	517
533	534	550
534	535	518
534	535	551
535	536	519
535	536	552
536	537	520
536	537	553
537	538	521
537	538	554
538	539	522
538	539	555
539	540	523
539	540	556
540	541	524
540	541	557
541	542	525
541	542	558
542	543	526
542	543	559
543	544	527
543	544	560
544	545	528
544	545	561
546	547	530
546	547	563
547	548	531
547	548	564
548	549	532
548	549	565
549	550	533
549	550	566
550	551	534
550	551	567
551	552	535
551	552	568
552	553	536
552	553	569
553	554	537
553	554	570
554	555	538
554	555	571
555	556	539
555	556	572
